,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[28 20 17 31],[32 16 14 34],[27 21 19 29],[29 19 20 28],[29 19 18 30],[29 19 20 28],[28 20 17 31],[27 21 17 31],[27 21 20 28],[26 22 17 31]
1,3,183,[30 18 21 27],[31 17 14 34],[25 23 19 29],[33 15 18 30],[28 20 17 31],[30 18 18 30],[28 20 15 33],[28 20 17 31],[27 21 18 30],[26 22 17 31]
2,3,316,[29 19 22 26],[32 16 15 33],[25 23 18 30],[33 15 18 30],[27 21 17 31],[30 18 17 31],[28 20 16 32],[28 20 16 32],[27 21 16 32],[26 22 18 30]
3,3,450,[28 20 21 27],[33 15 16 32],[24 24 19 29],[33 15 18 30],[27 21 18 30],[29 19 18 30],[26 22 16 32],[26 22 16 32],[26 22 16 32],[26 22 19 29]
4,4,50,[27 21 18 30],[33 15 17 31],[28 20 22 26],[30 18 20 28],[28 20 19 29],[30 18 18 30],[32 16 19 29],[26 22 17 31],[30 18 21 27],[27 21 19 29]
5,4,183,[28 20 19 29],[32 16 14 34],[26 22 20 28],[33 15 18 30],[29 19 19 29],[28 20 18 30],[28 20 18 30],[27 21 16 32],[26 22 19 29],[28 20 17 31]
6,4,316,[29 19 19 29],[34 14 16 32],[26 22 19 29],[33 15 18 30],[28 20 19 29],[27 21 18 30],[29 19 17 31],[26 22 17 31],[27 21 20 28],[27 21 17 31]
7,4,450,[29 19 18 30],[31 17 15 33],[25 23 19 29],[33 15 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[27 21 17 31],[27 21 17 31],[26 22 18 30]
8,5,50,[28 20 18 30],[31 17 17 31],[28 20 21 27],[30 18 18 30],[29 19 19 29],[29 19 19 29],[32 16 20 28],[28 20 16 32],[31 17 20 28],[24 24 17 31]
9,5,183,[28 20 20 28],[33 15 16 32],[27 21 21 27],[34 14 17 31],[29 19 19 29],[29 19 17 31],[29 19 16 32],[27 21 14 34],[28 20 18 30],[28 20 17 31]
10,5,316,[29 19 18 30],[33 15 16 32],[27 21 20 28],[34 14 17 31],[28 20 20 28],[28 20 18 30],[29 19 17 31],[26 22 17 31],[28 20 18 30],[29 19 17 31]
11,5,450,[29 19 18 30],[32 16 15 33],[26 22 20 28],[33 15 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[25 23 17 31],[28 20 18 30],[27 21 18 30]
12,6,50,[27 21 18 30],[31 17 17 31],[26 22 22 26],[30 18 19 29],[29 19 19 29],[30 18 19 29],[32 16 19 29],[28 20 15 33],[31 17 21 27],[25 23 19 29]
13,6,183,[27 21 20 28],[33 15 16 32],[27 21 20 28],[34 14 17 31],[29 19 18 30],[29 19 17 31],[29 19 17 31],[27 21 15 33],[28 20 20 28],[27 21 17 31]
14,6,316,[29 19 19 29],[34 14 15 33],[26 22 20 28],[33 15 17 31],[28 20 20 28],[28 20 18 30],[29 19 18 30],[27 21 17 31],[28 20 17 31],[28 20 18 30]
15,6,450,[29 19 18 30],[33 15 15 33],[25 23 20 28],[34 14 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[26 22 18 30],[28 20 18 30],[26 22 18 30]
16,7,50,[27 21 18 30],[32 16 17 31],[25 23 22 26],[30 18 19 29],[29 19 19 29],[30 18 19 29],[32 16 19 29],[28 20 15 33],[31 17 21 27],[25 23 19 29]
17,7,183,[27 21 20 28],[33 15 15 33],[27 21 20 28],[34 14 17 31],[29 19 18 30],[29 19 17 31],[29 19 17 31],[27 21 15 33],[28 20 19 29],[27 21 17 31]
18,7,316,[29 19 18 30],[34 14 14 34],[26 22 20 28],[33 15 17 31],[28 20 20 28],[28 20 18 30],[29 19 18 30],[27 21 16 32],[28 20 17 31],[28 20 18 30]
19,7,450,[29 19 18 30],[33 15 15 33],[25 23 20 28],[34 14 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[26 22 16 32],[28 20 17 31],[26 22 18 30]
