,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[28 20 17 31],[32 16 14 34],[27 21 19 29],[29 19 20 28],[29 19 18 30],[29 19 20 28],[28 20 17 31],[27 21 17 31],[27 21 20 28],[26 22 17 31],0.6072916666666668,0.6031908612130891,0.6270833333333333,0.6146924581458999,0.01989798441929778
1,3,183,[30 18 21 27],[31 17 14 34],[25 23 19 29],[33 15 18 30],[28 20 17 31],[30 18 18 30],[28 20 15 33],[28 20 17 31],[27 21 18 30],[26 22 17 31],0.6166666666666667,0.6127494379464411,0.6375,0.6243587729740716,0.02124591463996994
2,3,316,[29 19 22 26],[32 16 15 33],[25 23 18 30],[33 15 18 30],[27 21 17 31],[30 18 17 31],[28 20 16 32],[28 20 16 32],[27 21 16 32],[26 22 18 30],0.6166666666666666,0.6124224368024906,0.6395833333333334,0.6251611476412023,0.021916296997304865
3,3,450,[28 20 21 27],[33 15 16 32],[24 24 19 29],[33 15 18 30],[27 21 18 30],[29 19 18 30],[26 22 16 32],[26 22 16 32],[26 22 16 32],[26 22 19 29],0.6052083333333335,0.6016041047758592,0.6312500000000001,0.6154352813349641,0.023945749513287044
4,4,50,[27 21 18 30],[33 15 17 31],[28 20 22 26],[30 18 20 28],[28 20 19 29],[30 18 18 30],[32 16 19 29],[26 22 17 31],[30 18 21 27],[27 21 19 29],0.6052083333333333,0.6062248220589849,0.6041666666666667,0.6047508584789683,0.01874999999999999
5,4,183,[28 20 19 29],[32 16 14 34],[26 22 20 28],[33 15 18 30],[29 19 19 29],[28 20 18 30],[28 20 18 30],[27 21 16 32],[26 22 19 29],[28 20 17 31],0.6114583333333333,0.6082914241168165,0.6291666666666667,0.6182846598144336,0.023250929226087787
6,4,316,[29 19 19 29],[34 14 16 32],[26 22 19 29],[33 15 18 30],[28 20 19 29],[27 21 18 30],[29 19 17 31],[26 22 17 31],[27 21 20 28],[27 21 17 31],0.6104166666666667,0.6087673064998069,0.6249999999999999,0.6163870392060092,0.023073955174772433
7,4,450,[29 19 18 30],[31 17 15 33],[25 23 19 29],[33 15 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[27 21 17 31],[27 21 17 31],[26 22 18 30],0.609375,0.605807953950811,0.6312499999999999,0.6179825712792599,0.02018672479687309
8,5,50,[28 20 18 30],[31 17 17 31],[28 20 21 27],[30 18 18 30],[29 19 19 29],[29 19 19 29],[32 16 20 28],[28 20 16 32],[31 17 20 28],[24 24 17 31],0.609375,0.6091241589379887,0.6145833333333333,0.6112620554638565,0.014649321603978476
9,5,183,[28 20 20 28],[33 15 16 32],[27 21 21 27],[34 14 17 31],[29 19 19 29],[29 19 17 31],[29 19 16 32],[27 21 14 34],[28 20 18 30],[28 20 17 31],0.621875,0.6193215888547552,0.6354166666666666,0.6268170283861211,0.023250929226087794
10,5,316,[29 19 18 30],[33 15 16 32],[27 21 20 28],[34 14 17 31],[28 20 20 28],[28 20 18 30],[29 19 17 31],[26 22 17 31],[28 20 18 30],[29 19 17 31],0.6177083333333334,0.6161652415817123,0.6291666666666667,0.622321780369207,0.02240592472903012
11,5,450,[29 19 18 30],[32 16 15 33],[26 22 20 28],[33 15 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[25 23 17 31],[28 20 18 30],[27 21 18 30],0.609375,0.6066935218531857,0.6270833333333333,0.6164345908874781,0.02179493725899336
12,6,50,[27 21 18 30],[31 17 17 31],[26 22 22 26],[30 18 19 29],[29 19 19 29],[30 18 19 29],[32 16 19 29],[28 20 15 33],[31 17 21 27],[25 23 19 29],0.6052083333333333,0.6052359139182881,0.6083333333333333,0.6062857686558498,0.02070562710538275
13,6,183,[27 21 20 28],[33 15 16 32],[27 21 20 28],[34 14 17 31],[29 19 18 30],[29 19 17 31],[29 19 17 31],[27 21 15 33],[28 20 20 28],[27 21 17 31],0.6177083333333334,0.6155440284133293,0.63125,0.6229245032793368,0.02366211810750115
14,6,316,[29 19 19 29],[34 14 15 33],[26 22 20 28],[33 15 17 31],[28 20 20 28],[28 20 18 30],[29 19 18 30],[27 21 17 31],[28 20 17 31],[28 20 18 30],0.615625,0.613978258442066,0.6270833333333333,0.6202549004830862,0.024738212681328985
15,6,450,[29 19 18 30],[33 15 15 33],[25 23 20 28],[34 14 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[26 22 18 30],[28 20 18 30],[26 22 18 30],0.609375,0.607667373942584,0.625,0.6158770411374144,0.02565687944709883
16,7,50,[27 21 18 30],[32 16 17 31],[25 23 22 26],[30 18 19 29],[29 19 19 29],[30 18 19 29],[32 16 19 29],[28 20 15 33],[31 17 21 27],[25 23 19 29],0.6052083333333333,0.6055045852165947,0.6083333333333333,0.6064071739732672,0.02312614695187043
17,7,183,[27 21 20 28],[33 15 15 33],[27 21 20 28],[34 14 17 31],[29 19 18 30],[29 19 17 31],[29 19 17 31],[27 21 15 33],[28 20 19 29],[27 21 17 31],0.6197916666666667,0.617059262166405,0.6354166666666667,0.6257665633263615,0.024305555555555566
18,7,316,[29 19 18 30],[34 14 14 34],[26 22 20 28],[33 15 17 31],[28 20 20 28],[28 20 18 30],[29 19 18 30],[27 21 16 32],[28 20 17 31],[28 20 18 30],0.61875,0.6161686228223856,0.6333333333333334,0.6244198896759828,0.02602082499332666
19,7,450,[29 19 18 30],[33 15 15 33],[25 23 20 28],[34 14 18 30],[27 21 19 29],[28 20 18 30],[29 19 18 30],[26 22 16 32],[28 20 17 31],[26 22 18 30],0.6125,0.6100186392350258,0.63125,0.6200239120069744,0.02499999999999999
