,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[33 15 18 30],[37 11 13 35],[34 14 14 34],[34 14 17 31],[36 12 15 33],[38 10 17 31],[32 16 19 29],[34 14 11 37],[30 18 17 31],[33 15 11 37]
1,3,183,[35 13 16 32],[37 11 15 33],[35 13 14 34],[32 16 18 30],[35 13 16 32],[38 10 16 32],[34 14 15 33],[35 13 12 36],[32 16 16 32],[32 16 14 34]
2,3,316,[36 12 17 31],[35 13 15 33],[33 15 13 35],[34 14 17 31],[34 14 17 31],[37 11 16 32],[36 12 15 33],[33 15 12 36],[32 16 17 31],[33 15 13 35]
3,3,450,[37 11 16 32],[35 13 14 34],[34 14 13 35],[32 16 17 31],[34 14 17 31],[37 11 15 33],[34 14 15 33],[35 13 13 35],[32 16 14 34],[33 15 13 35]
4,4,50,[37 11 20 28],[34 14 16 32],[33 15 13 35],[34 14 21 27],[34 14 18 30],[37 11 18 30],[31 17 20 28],[34 14 12 36],[31 17 20 28],[32 16 15 33]
5,4,183,[37 11 16 32],[36 12 16 32],[30 18 14 34],[34 14 18 30],[34 14 16 32],[38 10 14 34],[34 14 15 33],[33 15 14 34],[32 16 18 30],[30 18 13 35]
6,4,316,[36 12 16 32],[35 13 15 33],[32 16 14 34],[34 14 17 31],[33 15 16 32],[38 10 14 34],[34 14 15 33],[33 15 13 35],[32 16 17 31],[32 16 12 36]
7,4,450,[36 12 17 31],[34 14 17 31],[31 17 14 34],[34 14 17 31],[33 15 14 34],[38 10 13 35],[34 14 15 33],[34 14 12 36],[32 16 16 32],[32 16 12 36]
8,5,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33]
9,5,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35]
10,5,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[34 14 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36]
11,5,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36]
12,6,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33]
13,6,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35]
14,6,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[33 15 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36]
15,6,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36]
16,7,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33]
17,7,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35]
18,7,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[33 15 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36]
19,7,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36]
