,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[33 15 18 30],[37 11 13 35],[34 14 14 34],[34 14 17 31],[36 12 15 33],[38 10 17 31],[32 16 19 29],[34 14 11 37],[30 18 17 31],[33 15 11 37],0.6968750000000001,0.7028315511701051,0.6833333333333333,0.6921454693409597,0.026976284166048664
1,3,183,[35 13 16 32],[37 11 15 33],[35 13 14 34],[32 16 18 30],[35 13 16 32],[38 10 16 32],[34 14 15 33],[35 13 12 36],[32 16 16 32],[32 16 14 34],0.7010416666666667,0.7093193356281766,0.6833333333333333,0.6956482948534531,0.01864683553069104
2,3,316,[36 12 17 31],[35 13 15 33],[33 15 13 35],[34 14 17 31],[34 14 17 31],[37 11 16 32],[36 12 15 33],[33 15 12 36],[32 16 17 31],[33 15 13 35],0.6989583333333333,0.7059075515554988,0.6833333333333333,0.693822953166955,0.0136965853634139
3,3,450,[37 11 16 32],[35 13 14 34],[34 14 13 35],[32 16 17 31],[34 14 17 31],[37 11 15 33],[34 14 15 33],[35 13 13 35],[32 16 14 34],[33 15 13 35],0.7041666666666667,0.7091633699331621,0.6937500000000001,0.700949198555691,0.01527777777777777
4,4,50,[37 11 20 28],[34 14 16 32],[33 15 13 35],[34 14 21 27],[34 14 18 30],[37 11 18 30],[31 17 20 28],[34 14 12 36],[31 17 20 28],[32 16 15 33],0.6708333333333333,0.6823576808318513,0.6395833333333333,0.6591295052436872,0.024493322345206098
5,4,183,[37 11 16 32],[36 12 16 32],[30 18 14 34],[34 14 18 30],[34 14 16 32],[38 10 14 34],[34 14 15 33],[33 15 14 34],[32 16 18 30],[30 18 13 35],0.6916666666666667,0.6984059038217928,0.6791666666666666,0.6878239238077055,0.018941919023591464
6,4,316,[36 12 16 32],[35 13 15 33],[32 16 14 34],[34 14 17 31],[33 15 16 32],[38 10 14 34],[34 14 15 33],[33 15 13 35],[32 16 17 31],[32 16 12 36],0.6979166666666667,0.7021141077033769,0.6895833333333333,0.6952792831821857,0.01613743060919757
7,4,450,[36 12 17 31],[34 14 17 31],[31 17 14 34],[34 14 17 31],[33 15 14 34],[38 10 13 35],[34 14 15 33],[34 14 12 36],[32 16 16 32],[32 16 12 36],0.6989583333333333,0.7018132024349597,0.6937500000000001,0.6971337187721715,0.017961829383857715
8,5,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33],0.675,0.6863836628341475,0.6458333333333334,0.6646168613658484,0.019837301190396808
9,5,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35],0.6979166666666667,0.7052523361731436,0.6833333333333333,0.6934518399644323,0.014894174020505014
10,5,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[34 14 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36],0.7,0.7060450864929309,0.6875000000000001,0.6960339171403483,0.014163943093313295
11,5,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36],0.7041666666666666,0.708334397626323,0.6958333333333333,0.7014585308934145,0.015896559919804987
12,6,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33],0.675,0.6863836628341475,0.6458333333333334,0.6646168613658484,0.019837301190396808
13,6,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35],0.6979166666666667,0.7052523361731436,0.6833333333333333,0.6934518399644323,0.014894174020505014
14,6,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[33 15 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36],0.6989583333333333,0.704582320535484,0.6875000000000001,0.695310232929822,0.014383552206394435
15,6,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36],0.7041666666666666,0.708334397626323,0.6958333333333333,0.7014585308934145,0.015896559919804987
16,7,50,[37 11 20 28],[34 14 15 33],[34 14 14 34],[34 14 19 29],[33 15 18 30],[37 11 18 30],[32 16 19 29],[34 14 13 35],[31 17 19 29],[32 16 15 33],0.675,0.6863836628341475,0.6458333333333334,0.6646168613658484,0.019837301190396808
17,7,183,[37 11 17 31],[36 12 15 33],[32 16 14 34],[34 14 17 31],[35 13 16 32],[38 10 14 34],[33 15 15 33],[33 15 14 34],[33 15 17 31],[31 17 13 35],0.6979166666666667,0.7052523361731436,0.6833333333333333,0.6934518399644323,0.014894174020505014
18,7,316,[36 12 17 31],[36 12 16 32],[33 15 14 34],[34 14 17 31],[34 14 16 32],[38 10 14 34],[33 15 15 33],[33 15 13 35],[32 16 16 32],[32 16 12 36],0.6989583333333333,0.704582320535484,0.6875000000000001,0.695310232929822,0.014383552206394435
19,7,450,[36 12 17 31],[35 13 17 31],[32 16 14 34],[35 13 16 32],[34 14 15 33],[38 10 13 35],[33 15 15 33],[34 14 12 36],[32 16 15 33],[33 15 12 36],0.7041666666666666,0.708334397626323,0.6958333333333333,0.7014585308934145,0.015896559919804987
