,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[34 14 16 32],[33 15 18 30],[30 18 20 28],[29 19 18 30],[31 17 14 34],[33 15 17 31],[32 16 17 31],[35 13 14 34],[34 14 18 30],[30 18 16 32]
1,3,183,[36 12 14 34],[30 18 16 32],[31 17 20 28],[32 16 18 30],[31 17 16 32],[34 14 17 31],[33 15 17 31],[34 14 14 34],[29 19 15 33],[28 20 17 31]
2,3,316,[34 14 15 33],[30 18 16 32],[31 17 20 28],[30 18 17 31],[31 17 17 31],[33 15 18 30],[30 18 16 32],[32 16 14 34],[29 19 15 33],[27 21 17 31]
3,3,450,[33 15 14 34],[28 20 16 32],[30 18 20 28],[30 18 17 31],[30 18 18 30],[33 15 16 32],[31 17 17 31],[33 15 14 34],[28 20 15 33],[28 20 17 31]
4,4,50,[33 15 13 35],[31 17 15 33],[34 14 19 29],[30 18 18 30],[31 17 14 34],[31 17 16 32],[34 14 17 31],[33 15 14 34],[30 18 16 32],[30 18 16 32]
5,4,183,[34 14 17 31],[31 17 16 32],[31 17 19 29],[31 17 18 30],[33 15 15 33],[32 16 17 31],[32 16 15 33],[36 12 13 35],[30 18 15 33],[31 17 16 32]
6,4,316,[33 15 16 32],[31 17 16 32],[29 19 20 28],[32 16 18 30],[33 15 17 31],[34 14 19 29],[33 15 17 31],[34 14 14 34],[28 20 15 33],[30 18 16 32]
7,4,450,[34 14 15 33],[30 18 16 32],[29 19 19 29],[31 17 18 30],[33 15 17 31],[34 14 18 30],[33 15 17 31],[34 14 14 34],[28 20 16 32],[28 20 16 32]
8,5,50,[33 15 14 34],[31 17 15 33],[35 13 18 30],[33 15 17 31],[33 15 14 34],[34 14 17 31],[33 15 17 31],[33 15 14 34],[31 17 17 31],[30 18 15 33]
9,5,183,[34 14 17 31],[33 15 16 32],[32 16 19 29],[31 17 18 30],[34 14 14 34],[33 15 17 31],[32 16 17 31],[36 12 13 35],[30 18 15 33],[30 18 16 32]
10,5,316,[33 15 17 31],[31 17 16 32],[31 17 20 28],[31 17 18 30],[33 15 15 33],[33 15 18 30],[32 16 16 32],[34 14 14 34],[28 20 16 32],[29 19 17 31]
11,5,450,[33 15 16 32],[30 18 16 32],[30 18 19 29],[31 17 18 30],[32 16 17 31],[34 14 18 30],[32 16 16 32],[32 16 14 34],[28 20 17 31],[28 20 16 32]
12,6,50,[33 15 14 34],[31 17 15 33],[35 13 18 30],[33 15 17 31],[33 15 14 34],[34 14 17 31],[33 15 17 31],[33 15 14 34],[31 17 17 31],[29 19 15 33]
13,6,183,[34 14 17 31],[33 15 16 32],[32 16 19 29],[31 17 18 30],[34 14 14 34],[33 15 17 31],[32 16 17 31],[36 12 13 35],[30 18 15 33],[30 18 16 32]
14,6,316,[33 15 17 31],[31 17 16 32],[31 17 20 28],[31 17 18 30],[33 15 15 33],[33 15 18 30],[32 16 16 32],[34 14 14 34],[28 20 16 32],[29 19 17 31]
15,6,450,[33 15 16 32],[30 18 16 32],[30 18 19 29],[31 17 18 30],[32 16 17 31],[34 14 18 30],[32 16 16 32],[32 16 14 34],[28 20 17 31],[28 20 16 32]
16,7,50,[33 15 14 34],[31 17 15 33],[35 13 18 30],[33 15 17 31],[33 15 14 34],[34 14 17 31],[33 15 17 31],[33 15 14 34],[31 17 17 31],[29 19 15 33]
17,7,183,[34 14 17 31],[33 15 16 32],[32 16 19 29],[31 17 18 30],[34 14 14 34],[33 15 17 31],[32 16 17 31],[36 12 13 35],[30 18 15 33],[30 18 16 32]
18,7,316,[33 15 17 31],[31 17 16 32],[31 17 20 28],[31 17 18 30],[33 15 15 33],[33 15 18 30],[32 16 16 32],[34 14 14 34],[28 20 16 32],[29 19 17 31]
19,7,450,[33 15 16 32],[30 18 16 32],[30 18 19 29],[31 17 18 30],[32 16 17 31],[34 14 18 30],[32 16 16 32],[32 16 14 34],[28 20 17 31],[28 20 16 32]
