,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[34 14 16 32],[33 15 18 30],[30 18 20 28],[29 19 18 30],[31 17 14 34],[33 15 17 31],[32 16 17 31],[35 13 14 34],[34 14 18 30],[30 18 16 32],0.659375,0.6628636006080171,0.65,0.6560413081153006,0.021074987368741
1,3,183,[36 12 14 34],[30 18 16 32],[31 17 20 28],[32 16 18 30],[31 17 16 32],[34 14 17 31],[33 15 17 31],[34 14 14 34],[29 19 15 33],[28 20 17 31],0.6604166666666667,0.6620181582108874,0.6583333333333333,0.6597544798564502,0.023282020297555835
2,3,316,[34 14 15 33],[30 18 16 32],[31 17 20 28],[30 18 17 31],[31 17 17 31],[33 15 18 30],[30 18 16 32],[32 16 14 34],[29 19 15 33],[27 21 17 31],0.6479166666666667,0.646027217379041,0.65625,0.6507057261127545,0.01805555555555555
3,3,450,[33 15 14 34],[28 20 16 32],[30 18 20 28],[30 18 17 31],[30 18 18 30],[33 15 16 32],[31 17 17 31],[33 15 14 34],[28 20 15 33],[28 20 17 31],0.6458333333333333,0.6426657474675819,0.6583333333333333,0.6501227310910054,0.021291263495494293
4,4,50,[33 15 13 35],[31 17 15 33],[34 14 19 29],[30 18 18 30],[31 17 14 34],[31 17 16 32],[34 14 17 31],[33 15 14 34],[30 18 16 32],[30 18 16 32],0.665625,0.6641912935716922,0.6708333333333333,0.667060028418644,0.01597222222222222
5,4,183,[34 14 17 31],[31 17 16 32],[31 17 19 29],[31 17 18 30],[33 15 15 33],[32 16 17 31],[32 16 15 33],[36 12 13 35],[30 18 15 33],[31 17 16 32],0.6666666666666666,0.6676027523251052,0.6645833333333334,0.6658907241508025,0.02012691214748534
6,4,316,[33 15 16 32],[31 17 16 32],[29 19 20 28],[32 16 18 30],[33 15 17 31],[34 14 19 29],[33 15 17 31],[34 14 14 34],[28 20 15 33],[30 18 16 32],0.6552083333333333,0.6575050416589104,0.65,0.6532621059400889,0.018750000000000003
7,4,450,[34 14 15 33],[30 18 16 32],[29 19 19 29],[31 17 18 30],[33 15 17 31],[34 14 18 30],[33 15 17 31],[34 14 14 34],[28 20 16 32],[28 20 16 32],0.6541666666666666,0.6553339031458826,0.6541666666666667,0.654319986317717,0.021017702708918826
8,5,50,[33 15 14 34],[31 17 15 33],[35 13 18 30],[33 15 17 31],[33 15 14 34],[34 14 17 31],[33 15 17 31],[33 15 14 34],[31 17 17 31],[30 18 15 33],0.675,0.6768914204374031,0.6708333333333333,0.6734218433437796,0.011536977587386204
9,5,183,[34 14 17 31],[33 15 16 32],[32 16 19 29],[31 17 18 30],[34 14 14 34],[33 15 17 31],[32 16 17 31],[36 12 13 35],[30 18 15 33],[30 18 16 32],0.6697916666666666,0.6726042788993489,0.6625000000000001,0.6672695115325327,0.020844904194171725
10,5,316,[33 15 17 31],[31 17 16 32],[31 17 20 28],[31 17 18 30],[33 15 15 33],[33 15 18 30],[32 16 16 32],[34 14 14 34],[28 20 16 32],[29 19 17 31],0.6541666666666666,0.6552045644581986,0.6520833333333333,0.6533412119067996,0.0188398055086813
11,5,450,[33 15 16 32],[30 18 16 32],[30 18 19 29],[31 17 18 30],[32 16 17 31],[34 14 18 30],[32 16 16 32],[32 16 14 34],[28 20 17 31],[28 20 16 32],0.6489583333333333,0.6487457281975428,0.6520833333333333,0.6500463034114554,0.016448221225454175
12,6,50,[33 15 14 34],[31 17 15 33],[35 13 18 30],[33 15 17 31],[33 15 14 34],[34 14 17 31],[33 15 17 31],[33 15 14 34],[31 17 17 31],[29 19 15 33],0.6739583333333333,0.6756470765460003,0.6708333333333333,0.6727551766771129,0.012441995046645067
13,6,183,[34 14 17 31],[33 15 16 32],[32 16 19 29],[31 17 18 30],[34 14 14 34],[33 15 17 31],[32 16 17 31],[36 12 13 35],[30 18 15 33],[30 18 16 32],0.6697916666666666,0.6726042788993489,0.6625000000000001,0.6672695115325327,0.020844904194171725
