,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[33 15 19 29],[33 15 17 31],[31 17 15 33],[32 16 18 30],[37 11 18 30],[37 11 15 33],[31 17 16 32],[34 14 12 36],[32 16 15 33],[34 14 10 38]
1,3,183,[34 14 18 30],[36 12 14 34],[33 15 17 31],[33 15 19 29],[34 14 16 32],[37 11 14 34],[35 13 17 31],[33 15 14 34],[30 18 14 34],[29 19 14 34]
2,3,316,[34 14 17 31],[33 15 15 33],[32 16 15 33],[31 17 18 30],[32 16 17 31],[35 13 14 34],[35 13 16 32],[34 14 14 34],[30 18 15 33],[29 19 14 34]
3,3,450,[33 15 17 31],[33 15 16 32],[33 15 15 33],[31 17 19 29],[33 15 17 31],[36 12 15 33],[35 13 15 33],[34 14 15 33],[30 18 16 32],[29 19 14 34]
4,4,50,[31 17 21 27],[33 15 19 29],[30 18 16 32],[30 18 17 31],[35 13 19 29],[32 16 17 31],[28 20 17 31],[34 14 14 34],[33 15 22 26],[35 13 11 37]
5,4,183,[33 15 17 31],[32 16 17 31],[34 14 17 31],[32 16 19 29],[35 13 16 32],[35 13 15 33],[35 13 16 32],[34 14 16 32],[31 17 14 34],[31 17 14 34]
6,4,316,[32 16 17 31],[31 17 17 31],[33 15 17 31],[31 17 19 29],[34 14 15 33],[36 12 15 33],[35 13 17 31],[34 14 15 33],[30 18 16 32],[31 17 14 34]
7,4,450,[32 16 17 31],[33 15 17 31],[33 15 14 34],[32 16 17 31],[34 14 16 32],[36 12 16 32],[35 13 16 32],[33 15 15 33],[30 18 14 34],[29 19 15 33]
8,5,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36]
9,5,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[33 15 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35]
10,5,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34]
11,5,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[32 16 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34]
12,6,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36]
13,6,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[32 16 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35]
14,6,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34]
15,6,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[33 15 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34]
16,7,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36]
17,7,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[32 16 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35]
18,7,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34]
19,7,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[33 15 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34]
