,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[33 15 19 29],[33 15 17 31],[31 17 15 33],[32 16 18 30],[37 11 18 30],[37 11 15 33],[31 17 16 32],[34 14 12 36],[32 16 15 33],[34 14 10 38],0.6864583333333333,0.6904185025699947,0.6770833333333334,0.6828225181625973,0.023945749513287026
1,3,183,[34 14 18 30],[36 12 14 34],[33 15 17 31],[33 15 19 29],[34 14 16 32],[37 11 14 34],[35 13 17 31],[33 15 14 34],[30 18 14 34],[29 19 14 34],0.6843750000000001,0.689893889201284,0.6729166666666666,0.6805832576631127,0.019407206406225168
2,3,316,[34 14 17 31],[33 15 15 33],[32 16 15 33],[31 17 18 30],[32 16 17 31],[35 13 14 34],[35 13 16 32],[34 14 14 34],[30 18 15 33],[29 19 14 34],0.6770833333333334,0.6779147574324792,0.6770833333333333,0.6771018407544113,0.016724436914989302
3,3,450,[33 15 17 31],[33 15 16 32],[33 15 15 33],[31 17 19 29],[33 15 17 31],[36 12 15 33],[35 13 15 33],[34 14 15 33],[30 18 16 32],[29 19 14 34],0.6749999999999999,0.6780973664612896,0.66875,0.6730224895549312,0.018320702719823497
4,4,50,[31 17 21 27],[33 15 19 29],[30 18 16 32],[30 18 17 31],[35 13 19 29],[32 16 17 31],[28 20 17 31],[34 14 14 34],[33 15 22 26],[35 13 11 37],0.6541666666666666,0.6585753804564709,0.6395833333333333,0.6480671473295027,0.028598972613852778
5,4,183,[33 15 17 31],[32 16 17 31],[34 14 17 31],[32 16 19 29],[35 13 16 32],[35 13 15 33],[35 13 16 32],[34 14 16 32],[31 17 14 34],[31 17 14 34],0.6781249999999999,0.6835419878713125,0.6645833333333333,0.673558881084077,0.013696585363413907
6,4,316,[32 16 17 31],[31 17 17 31],[33 15 17 31],[31 17 19 29],[34 14 15 33],[36 12 15 33],[35 13 17 31],[34 14 15 33],[30 18 16 32],[31 17 14 34],0.6718749999999999,0.6758556401199788,0.6625,0.6688054715363662,0.018438775065766314
7,4,450,[32 16 17 31],[33 15 17 31],[33 15 14 34],[32 16 17 31],[34 14 16 32],[36 12 16 32],[35 13 16 32],[33 15 15 33],[30 18 14 34],[29 19 15 33],0.6770833333333333,0.6796937081427302,0.6729166666666666,0.6758043834568478,0.013537214367790224
8,5,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36],0.6604166666666667,0.6661221939789288,0.64375,0.6542521011388098,0.02602082499332666
9,5,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[33 15 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35],0.671875,0.6781705437448019,0.6541666666666667,0.6653800692856525,0.01970314022098764
10,5,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34],0.6697916666666667,0.6733667129201357,0.6604166666666667,0.6665583290688758,0.017581929029405773
11,5,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[32 16 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34],0.671875,0.6745479296652946,0.6666666666666666,0.6701725074568289,0.014974901842255426
12,6,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36],0.6604166666666667,0.6661221939789288,0.64375,0.6542521011388098,0.02602082499332666
13,6,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[32 16 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35],0.6708333333333334,0.6767058972801554,0.6541666666666667,0.6647021824226325,0.020412414523193142
14,6,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34],0.6697916666666667,0.6733667129201357,0.6604166666666667,0.6665583290688758,0.017581929029405773
15,6,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[33 15 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34],0.6729166666666667,0.6759817872046101,0.6666666666666666,0.6708667963706028,0.01463285243451769
16,7,50,[31 17 21 27],[33 15 19 29],[30 18 17 31],[31 17 19 29],[37 11 17 31],[34 14 15 33],[30 18 18 30],[34 14 15 33],[32 16 18 30],[33 15 12 36],0.6604166666666667,0.6661221939789288,0.64375,0.6542521011388098,0.02602082499332666
17,7,183,[33 15 18 30],[34 14 16 32],[34 14 18 30],[32 16 21 27],[34 14 16 32],[36 12 14 34],[32 16 19 29],[34 14 16 32],[30 18 15 33],[31 17 13 35],0.6708333333333334,0.6767058972801554,0.6541666666666667,0.6647021824226325,0.020412414523193142
18,7,316,[32 16 18 30],[33 15 16 32],[33 15 17 31],[31 17 19 29],[33 15 15 33],[36 12 15 33],[33 15 18 30],[34 14 15 33],[30 18 16 32],[31 17 14 34],0.6697916666666667,0.6733667129201357,0.6604166666666667,0.6665583290688758,0.017581929029405773
19,7,450,[32 16 18 30],[34 14 16 32],[33 15 16 32],[32 16 18 30],[34 14 16 32],[36 12 15 33],[33 15 17 31],[33 15 15 33],[30 18 15 33],[29 19 14 34],0.6729166666666667,0.6759817872046101,0.6666666666666666,0.6708667963706028,0.01463285243451769
